option_slug,variant_type_slug,option_name,description,additional_price,image_url,display_order
circular,forma,Circular,Forma redonda perfecta,0.00,/images/formas/circular.jpg,1
cuadrado,forma,Cuadrado,Forma cuadrada,0.00,/images/formas/cuadrado.jpg,2
rectangular,forma,Rectangular,Forma rectangular,0.00,/images/formas/rectangular.jpg,3
ovalado,forma,Ovalado,Forma ovalada,0.50,/images/formas/ovalado.jpg,4
esquinas-redondeadas,forma,Esquinas Redondeadas,Cuadrado con esquinas suaves,0.30,/images/formas/redondeado.jpg,5
triangular,forma,Triangular,Forma triangular,0.80,/images/formas/triangular.jpg,6
corazon,forma,Corazón,Forma de corazón,1.00,/images/formas/corazon.jpg,7
estrella,forma,Estrella,Forma de estrella,1.00,/images/formas/estrella.jpg,8
personalizado,forma,Forma Personalizada,Cualquier forma a medida,3.00,,9
corte-recto,corte,Corte Recto,Corte estándar en línea recta,0.00,,1
troquelado,corte,Troquelado,Corte personalizado siguiendo diseño,2.00,/images/cortes/troquelado.jpg,2
semitroquelado,corte,Semitroquelado,Corte parcial con respaldo,1.50,/images/cortes/semitroquelado.jpg,3
kiss-cut,corte,Kiss Cut,Corte que no atraviesa el backing,1.20,,4
brillante,acabado,Brillante,Acabado glossy con brillo,0.00,/images/acabados/brillante.jpg,1
mate,acabado,Mate,Acabado sin brillo,0.00,/images/acabados/mate.jpg,2
holografico,acabado,Holográfico,Efecto iridiscente holográfico,3.00,/images/acabados/holografico.jpg,3
perlado,acabado,Perlado,Acabado con efecto perla,2.00,/images/acabados/perlado.jpg,4
tacto-suave,acabado,Tacto Suave,Acabado soft touch aterciopelado,2.50,/images/acabados/soft-touch.jpg,5
metalico,acabado,Metálico,Acabado con efecto metálico,2.80,/images/acabados/metalico.jpg,6
barniz-uv,acabado,Barniz UV,Acabado con barniz UV brillante,1.50,,7
barniz-selectivo,acabado,Barniz Selectivo,Barniz UV en zonas específicas,3.00,,8
vinilo-blanco,material,Vinilo Blanco,Vinilo adhesivo blanco estándar,0.00,,1
vinilo-transparente,material,Vinilo Transparente,Vinilo transparente,1.00,/images/materiales/transparente.jpg,2
kraft,material,Kraft,Papel kraft natural,0.80,/images/materiales/kraft.jpg,3
reciclado-mate,material,Reciclado Mate,Material ecológico reciclado,1.20,/images/materiales/reciclado.jpg,4
bambu,material,Bambú,Material de bambú sostenible,2.00,/images/materiales/bambu.jpg,5
mezcla-canamo,material,Mezcla de Cáñamo,Material con fibras de cáñamo,2.50,/images/materiales/canamo.jpg,6
lino,material,Lino,Textura de lino natural,1.80,/images/materiales/lino.jpg,7
textura-natural,material,Textura Natural,Material con textura orgánica,1.50,/images/materiales/textura-natural.jpg,8
